"Sp","Limb_width","Limb_length","Observer","Volume"
"V. lagopus",5.53739101579413,48.0634213238955,"Grace",1157.48386832756
"C. familiaris",4.53384253033437,35.8513178187422,"Bella",578.799129977399
"V. lagopus",5.13453833246604,58.9937619608827,"Grace",1221.51491394808
"C. familiaris",6.46551040420309,49.5271658780985,"Grace",1626.06906607073
"V. vulpes",3.42567984433845,41.0121568059549,"Bella",378.003686559388
"V. lagopus",4.12718308228068,59.6657763398252,"Grace",798.22007595536
"C. familiaris",4.37265261495486,54.455802384764,"Chris",817.756482233272
"C. lupus",4.36152533115819,37.619051062502,"Grace",562.049435501893
"C. latrans",6.07914653909393,50.6169253983535,"Bella",1469.16599387356
"C. familiaris",5.14835762744769,54.9428706150502,"Chris",1143.76984479191
"C. latrans",6.25827833497897,33.1400809320621,"Bella",1019.42010561393
"C. lupus",5.83868876285851,49.3845273018815,"Chris",1322.24347715626
"C. latrans",3.5675449105911,45.2727117645554,"Grace",452.548665132525
"C. familiaris",5.97962652635761,51.1988570261747,"Bella",1437.79929651373
"C. familiaris",4.79024987504818,55.8694096980616,"Grace",1006.88599580584
"V. vulpes",5.14404709171504,55.2535543567501,"Bella",1148.31218546562
"C. latrans",3.25951661053114,43.4233115706593,"Bella",362.342452274791
"C. familiaris",4.32088833721355,58.9400086272508,"Chris",864.263481603042
"V. lagopus",4.99395365430973,34.2356121889316,"Chris",670.589879482902
"C. latrans",7.18067071703263,53.3013753849082,"Bella",2158.53115130666
"C. familiaris",7.32360612903722,54.1118219797499,"Bella",2279.46011463346
"V. lagopus",6.07676208438352,53.8003785721958,"Bella",1560.34157241613
"V. lagopus",6.87554948218167,40.7268935465254,"Bella",1512.11907075902
"C. lupus",4.77784345694818,31.7400318570435,"Bella",569.063947540258
"C. lupus",5.02924986020662,46.9723842968233,"Bella",933.123037610845
"C. latrans",6.53323456947692,49.7702076402493,"Bella",1668.46014413325
"V. vulpes",7.19143832637928,33.2092062570155,"Grace",1348.90044361927
"C. latrans",4.19794565602206,34.451515765395,"Chris",476.839078547049
"C. familiaris",6.85385766625404,57.8327107708901,"Bella",2133.70115889691
"C. familiaris",4.77948872209527,44.2910910327919,"Chris",794.637657444524
"V. lagopus",5.67798518878408,44.9567615613341,"Grace",1138.34370825882
"C. familiaris",3.46544064767659,37.7022805949673,"Chris",355.610383015567
"C. lupus",3.84901520749554,44.7500827722251,"Grace",520.694485595549
"V. vulpes",7.49916225392371,33.5242769960314,"Bella",1480.72634083492
"V. lagopus",5.11318803485483,45.3841872001067,"Grace",931.918581595712
"V. lagopus",6.73873233911581,49.7363498574123,"Chris",1773.86352621706
"V. vulpes",7.11326289991848,33.6464717960916,"Chris",1337.10998518473
"C. lupus",7.7732682316564,45.4780460405163,"Bella",2158.2362694288
"V. lagopus",6.42722254688852,39.0504326135851,"Chris",1266.95855001707
"V. lagopus",5.50251614837907,52.8098336840048,"Bella",1255.81981885788
"C. lupus",4.37741931248456,57.4578562821262,"Grace",864.720190094471
"V. vulpes",4.14451972418465,43.7229192559607,"Grace",589.857972749375
"V. vulpes",3.07216952973977,57.6322180218995,"Chris",427.214092501206
"V. vulpes",6.64482281263918,37.7735640923493,"Bella",1309.91964437341
"V. vulpes",4.24940235866234,40.3133422136307,"Chris",571.734495150348
"C. familiaris",3.80591638339683,42.8751760558225,"Chris",487.769098160212
"C. lupus",3.08521325071342,39.9083593161777,"Bella",298.348687077576
"C. lupus",5.43050172575749,52.5849762302823,"Grace",1217.95565277241
"C. latrans",3.51450085942633,55.3169422829524,"Grace",536.630502865589
"V. lagopus",7.00773502304219,30.3261719830334,"Grace",1169.66856606539
"C. latrans",4.77164032473229,50.0010021426715,"Bella",894.136842886292
