"DogTypes","Limb_width","Limb_length","Observer","Volume"
"AustralianSheppard",5.83378027845174,59.0982797229663,"Bella",1579.66449382851
"Collie",3.82693929667585,48.7604424497113,"Bella",560.868004787245
"Labrador",4.37729516951367,48.7419601995498,"Grace",733.507464760941
"Labrador",3.5139567842707,46.1453516129404,"Bella",447.518169989998
"AustralianSheppard",7.77436385932378,55.3455749386922,"Chris",2627.25671262805
"GermanSheppard",3.26778011932038,57.6965668611228,"Bella",483.888728375558
"GoldenRetriever",4.27387874526903,40.9310634015128,"Bella",587.201697558247
"AustralianSheppard",4.90199679345824,45.199972493574,"Grace",853.049234430779
"Labrador",6.73517874977551,54.1876927064732,"Bella",1930.58440277219
"GoldenRetriever",7.24924345570616,46.6231286898255,"Bella",1924.31721735063
"Collie",5.41421277984045,50.2605419559404,"Grace",1157.14474632996
"GoldenRetriever",7.24209450255148,40.9906176012009,"Bella",1688.50642882361
"AustralianSheppard",7.22583245439455,48.454674067907,"Bella",1987.01585587917
"Collie",6.51080410764553,58.7480658339337,"Chris",1955.92731542406
"Labrador",5.67786433454603,57.9593229293823,"Bella",1467.51722547268
"GermanSheppard",7.92280997568741,49.5987322740257,"Chris",2445.22561754299
"Collie",3.04197014030069,41.7540693841875,"Grace",303.45799456502
"Collie",3.4888160340488,40.7639368716627,"Bella",389.69258389225
"Collie",4.50224438402802,49.180651511997,"Chris",782.964892501576
"Collie",7.89491902175359,45.3247762424871,"Bella",2218.81406268112
"AustralianSheppard",7.01054791291244,58.0735443066806,"Bella",2241.67236215132
"GoldenRetriever",7.92807760252617,49.4993276474997,"Chris",2443.57102235027
"GoldenRetriever",7.14488453650847,53.9420805545524,"Bella",2162.75838435576
"GermanSheppard",7.79624965344556,55.2586610522121,"Chris",2637.92056970718
"GoldenRetriever",6.22032893425785,43.4806658746675,"Bella",1321.33448545231
"AustralianSheppard",7.68091808375902,51.1377536365762,"Bella",2369.50590196088
"AustralianSheppard",4.31268928875215,50.3243669634685,"Grace",735.130670265319
"AustralianSheppard",3.86302742594853,47.4614293361083,"Chris",556.270818084323
"Labrador",3.205960808089,53.8358841277659,"Grace",434.588418968501
"AustralianSheppard",6.00155982724391,46.680016880855,"Bella",1320.53271623822
"Collie",3.29710222501308,48.6860696878284,"Bella",415.680280663636
"AustralianSheppard",4.91207523923367,48.9941203966737,"Bella",928.461430228985
"AustralianSheppard",4.03538774652407,56.2328923866153,"Grace",719.201932381309
"AustralianSheppard",4.20677523547783,58.2425085315481,"Grace",809.521841099662
"Collie",7.50213129282929,57.6081923628226,"Chris",2546.49864937436
"AustralianSheppard",6.5070368880406,42.866935050115,"Chris",1425.53817444824
"Collie",3.6841242685914,45.5491379648447,"Grace",485.555172970939
"GoldenRetriever",7.5917950978037,52.9544379608706,"Chris",2397.07266962709
"Collie",3.64841768005863,44.1481292387471,"Grace",461.542066103719
"Labrador",4.99304031440988,47.0941142272204,"Bella",922.118339287987
"AustralianSheppard",5.02602915233001,43.6381550785154,"Chris",865.777448526773
"Collie",4.1323592113331,53.2051078788936,"Chris",713.574532743426
"AustralianSheppard",3.83530170377344,42.0005221990868,"Grace",485.225524559917
"Labrador",5.02782384585589,58.4499710518867,"Chris",1160.47099091346
"GoldenRetriever",7.81527933035977,59.9120587902144,"Grace",2874.04216326671
"AustralianSheppard",5.36540596932173,52.5091394316405,"Grace",1187.21659423937
"GermanSheppard",3.13664185185917,44.318183795549,"Bella",342.453572707686
"AustralianSheppard",3.43320702970959,47.5606592651457,"Bella",440.288896789377
"AustralianSheppard",3.21335203549825,50.9494065539911,"Bella",413.186025686641
"AustralianSheppard",5.29111897642724,47.4719775374979,"Bella",1043.81193734883
"GermanSheppard",3.8057682402432,47.6544660143554,"Bella",542.098448005898
"AustralianSheppard",3.36200788454153,42.2748219780624,"Chris",375.291842070219
"Labrador",5.64132807496935,53.4402217715979,"Chris",1335.73666551504
"Labrador",7.53396964352578,42.8308030823246,"Bella",1909.386426268
"AustralianSheppard",4.39788448461331,45.4261924512684,"Grace",690.055233102226
"GoldenRetriever",7.29931179853156,52.3262422857806,"Chris",2189.64273232575
"Labrador",4.49376259418204,45.9394256584346,"Grace",728.610947669212
"Labrador",4.78348620422184,50.7348196627572,"Bella",911.769486554904
"GoldenRetriever",7.72964858170599,57.8674983372912,"Grace",2715.46424469544
"Collie",5.74814912583679,42.9501951066777,"Grace",1114.57956324455
"Labrador",5.11625917349011,49.7650902392343,"Bella",1023.10392309984
"GermanSheppard",6.4099260775838,50.6423141481355,"Bella",1634.21603095043
"GermanSheppard",7.01468610391021,50.7074562693015,"Chris",1959.64854672151
"GoldenRetriever",4.83947599958628,55.2090046042576,"Grace",1015.53870267688
"GermanSheppard",4.37607829645276,42.778630903922,"Grace",643.408701586957
"Labrador",6.71845275396481,44.5891272090375,"Grace",1580.72887927183
"AustralianSheppard",3.30913308262825,46.2741707917303,"Grace",397.976101466068
"GoldenRetriever",4.80745089426637,52.7959663374349,"Bella",958.341595055873
"GermanSheppard",5.32153263059445,47.9666920471936,"Grace",1066.84938056083
"GoldenRetriever",7.85548070631921,49.8280003946275,"Bella",2414.95405807022
"Labrador",7.794015372172,48.931054235436,"Bella",2334.51662081689
"GermanSheppard",7.73468297277577,46.7731158575043,"Grace",2197.71422226541
"AustralianSheppard",6.47835927270353,58.1236851960421,"Grace",1915.90107729239
"GoldenRetriever",3.85100382915698,40.0209412025288,"Chris",466.149347152902
"AustralianSheppard",7.68854773556814,46.1152068758383,"Grace",2141.02960639389
"Labrador",7.06585388700478,55.0754888169467,"Bella",2159.62102450495
"AustralianSheppard",4.84065047535114,42.9839871637523,"Bella",791.050172050471
"GermanSheppard",4.09057155554183,50.5134534975514,"Grace",663.842313276532
"GermanSheppard",5.95226223068312,58.5610967455432,"Grace",1629.53313259745
"GermanSheppard",5.44254145771265,41.3122346438468,"Chris",961.107708386493
"Collie",7.57455698400736,58.5784677928314,"Chris",2639.6257940923
"GoldenRetriever",5.77403105515987,51.2780059874058,"Bella",1342.70077884034
"Labrador",5.27509685209952,51.2508426373824,"Bella",1120.08702692294
"GermanSheppard",4.92396380007267,44.449160117656,"Chris",846.414595060458
"Collie",4.63810329861008,57.5743554579094,"Bella",972.746775647472
"AustralianSheppard",7.16756132035516,52.1816453337669,"Chris",2105.47691620223
"GermanSheppard",7.02359520085156,52.7435838617384,"Chris",2043.51798565484
"AustralianSheppard",3.40786373429,55.8620229410008,"Bella",509.531434371606
"GermanSheppard",7.03787817806005,49.9278915300965,"Bella",1942.30128610029
"GermanSheppard",3.71588601567782,46.5235484484583,"Grace",504.530563885055
"GermanSheppard",5.98187412787229,46.844765804708,"Bella",1316.51403681366
"GermanSheppard",5.57028376683593,58.0265653505921,"Bella",1414.07155540242
"GermanSheppard",6.66096102050506,46.6147277038544,"Chris",1624.37694715869
"Collie",6.02963608293794,56.5651070512831,"Grace",1615.17914031539
"AustralianSheppard",3.02612318843603,49.3869893392548,"Grace",355.202194601582
"GoldenRetriever",7.17717333650216,59.866400603205,"Grace",2422.03212364145
"GoldenRetriever",7.06760475365445,40.1207649055868,"Chris",1573.99589001433
"Collie",3.53418153198436,41.8508475553244,"Grace",410.555472359722
"GermanSheppard",7.48069347534329,45.8611147245392,"Grace",2015.66431634412
"GermanSheppard",7.9442166974768,59.3404596112669,"Grace",2941.32457314008
